State, Candidate Number, Money (R$ Reais), Votes
BA , 5090 , 24262.63 , 5713
BA , 5050 , 3990.00 , 3209
BA , 5051 , 5822.08 , 1944
BA , 5052 , 7297.00 , 1121
BA , 5060 , 9914.02 , 3599
BA , 2345 , 6600.00 , 1566
BA , 1366 , 7610.00 , 1225
BA , 2347 , 2002.00 , 0
BA , 2827 , 3806.01 , 741
BA , 5199 , 0.00 , 1256
BA , 2340 , 32082.68 , 1848
BA , 4000 , 33651.63 , 8394
BA , 4001 , 15456.12 , 1726
BA , 7077 , 0.00 , 1722
BA , 4004 , 1200.00 , 903
BA , 5190 , 13459.60 , 5883
BA , 5193 , 2264.01 , 1320
BA , 5192 , 8170.90 , 18655
BA , 7777 , 593207.32 , 63649
BA , 1110 , 2400.00 , 0
BA , 1115 , 2093692.87 , 125605
BA , 2822 , 0.00 , 1085
BA , 2030 , 15500.00 , 987
BA , 1755 , 3290.44 , 1969
BA , 4422 , 1448.00 , 0
BA , 2500 , 2040.00 , 1930
BA , 4310 , 0.00 , 1617
BA , 1713 , 0.00 , 397
BA , 4312 , 0.00 , 1229
BA , 4313 , 27200.00 , 22398
BA , 2877 , 0.00 , 514
BA , 4318 , 271.00 , 241
BA , 1797 , 3135.00 , 207
BA , 4099 , 24104.52 , 1523
BA , 2301 , 8500.00 , 309
BA , 9001 , 30000.00 , 18084
BA , 2818 , 0.00 , 84
BA , 5533 , 347053.27 , 51676
BA , 5531 , 1448.00 , 52
BA , 5530 , 1448.00 , 117
BA , 1789 , 0.72 , 478
BA , 4500 , 3858.00 , 2370
BA , 1717 , 18094.94 , 4806
BA , 5125 , 48900.00 , 5917
BA , 5040 , 830.00 , 595
BA , 1919 , 382648.23 , 95158
BA , 4013 , 440362.94 , 96134
BA , 2744 , 0.00 , 379
BA , 2233 , 0.00 , 1417
BA , 4010 , 129543.78 , 54172
BA , 5108 , 0.00 , 19
BA , 7061 , 0.00 , 328
BA , 2002 , 13171.80 , 474
BA , 1616 , 2891.76 , 304
BA , 2000 , 6698.40 , 0
BA , 5556 , 0.00 , 518
BA , 1363 , 584383.30 , 81414
BA , 5091 , 250.00 , 304
BA , 2533 , 605802.37 , 61899
BA , 2530 , 0.00 , 97
BA , 4580 , 300.00 , 361
CE , 1140 , 1724.00 , 23
CE , 2711 , 750.00 , 268
CE , 1300 , 2499.20 , 6774
CE , 7070 , 10000.00 , 1293
CE , 4005 , 30585.34 , 446
CE , 5454 , 219891.40 , 5097
CE , 4478 , 600.00 , 0
CE , 5078 , 0.00 , 449
CE , 4300 , 7495.91 , 1513
CE , 4574 , 0.00 , 295
CE , 4020 , 49353.48 , 2009
CE , 4007 , 6905.34 , 618
CE , 3650 , 0.00 , 822
CE , 2323 , 629806.84 , 147044
CE , 7777 , 821903.21 , 221567
CE , 1777 , 1019721.64 , 107734
CE , 1944 , 600.00 , 15
CE , 1914 , 3270.00 , 2927
CE , 2019 , 50.00 , 485
CE , 2244 , 3487.90 , 2147
CE , 2014 , 50.00 , 2250
CE , 1314 , 89587.08 , 15676
CE , 1090 , 15391.91 , 979
CE , 1312 , 155239.03 , 35952
CE , 1310 , 2000.00 , 359
CE , 4334 , 2430.00 , 342
CE , 2700 , 4359.20 , 3342
CE , 3333 , 879635.03 , 12472
CE , 4033 , 8990.34 , 355
CE , 4567 , 0.00 , 1265
CE , 4565 , 3167.40 , 1598
CE , 3643 , 0.00 , 480
CE , 3640 , 1000.00 , 1969
CE , 4011 , 59235.35 , 1962
CE , 1555 , 1107084.45 , 60201
CE , 6565 , 1732704.71 , 80578
CE , 5555 , 464670.38 , 21421
CE , 1011 , 5219.91 , 1478
CE , 7778 , 8166.00 , 1173
CE , 1414 , 0.00 , 202
CE , 2399 , 1448.00 , 579
CE , 5010 , 3358.40 , 3446
CE , 5011 , 1000.00 , 0
CE , 5012 , 1830.00 , 1113
CE , 1321 , 188715.89 , 18535
CE , 9099 , 1201160.75 , 91085
CE , 5151 , 100.00 , 1917
CE , 4320 , 4797.41 , 232
CE , 4322 , 18575.91 , 4776
CE , 9090 , 917699.02 , 185226
CE , 3678 , 14620.24 , 3481
CE , 4000 , 6753.74 , 0
CE , 2828 , 2005.51 , 453
CE , 9011 , 355239.78 , 60669
CE , 9013 , 188260.00 , 19837
CE , 4044 , 52390.47 , 1365
CE , 4045 , 3843.12 , 0
CE , 1717 , 54890.00 , 36488
CE , 5569 , 1000.00 , 0
CE , 4043 , 7012.84 , 204
CE , 5090 , 1500.00 , 368
CE , 4343 , 558863.08 , 13431
CE , 6513 , 9286.95 , 593
CE , 4412 , 0.00 , 0
CE , 1522 , 0.00 , 389
CE , 7011 , 120860.10 , 29217
CE , 1010 , 1298625.96 , 117930
